employee_id,full_name,department,designation,employment_type,shift_type,work_mode,date,clock_in_time,clock_out_time,total_work_hours,tasks_completed,productivity_score,absent,overtime_hours,leave_type,late_login,early_logout,project_deadlines_missed,burnout_risk_score,manager_id,location,salary_band,performance_rating,years_with_company,reason_for_leave
EMP1216,Employee 216,Engineering,QA Analyst,Full-time,Day,Hybrid,2025-02-07,09:48:00,17:48:00,8.0,12.0,70.09,False,0.0,,True,True,0.0,11.79,MGR674,Bangalore,Low,4.83,8.2,
EMP1707,Employee 707,Engineering,DevOps Engineer,Part-time,Rotational,Office,2025-02-07,20:54:00,04:54:00,8.0,6.0,88.78,False,1.5,,True,True,0.0,12.19,MGR307,New York,Low,3.6,4.3,
EMP1943,Employee 943,Finance,Financial Analyst,Part-time,Day,Office,2025-02-19,10:02:00,18:02:00,8.0,11.0,72.26,False,0.0,,False,True,0.0,10.18,MGR598,New York,High,3.64,5.9,
EMP1724,Employee 724,Finance,Financial Analyst,Part-time,Night,Work From Home,2025-02-19,22:14:00,06:14:00,8.0,9.0,80.4,False,0.5,,True,True,1.0,8.44,MGR542,London,Medium,4.2,3.3,
EMP1264,INVALID_NAME,Customer Support,Support Specialist,Contractor,Day,Hybrid,2025-02-22,10:26:00,18:26:00,8.0,12.0,94.62,False,0.0,,True,True,2.0,14.63,MGR319,London,Low,3.78,8.1,
EMP1742,Employee 742,Consulting,Consultant,Part-time,Night,Work From Home,2025-02-15,21:23:00,05:23:00,8.0,5.0,76.35,False,0.0,,False,True,0.0,10.96,MGR211,Bangalore,High,4.76,9.1,
EMP1527,Employee 527,Engineering,Software Engineer,Full-time,Day,Office,2025-02-18,09:39:00,17:39:00,8.0,15.0,90.75,False,0.0,,False,True,1.0,13.23,MGR392,London,Low,4.14,1.9,
EMP1156,Employee 156,HR,HR Executive,Full-time,Rotational,Hybrid,2025-02-22,,,,,,True,,Paid Leave,,,,,MGR268,London,High,3.5,4.5,Personal
EMP1191,Employee 191,Sales,Sales Executive,Part-time,Rotational,Work From Home,2025-02-03,22:25:00,06:25:00,8.0,11.0,83.54,False,0.5,,True,False,2.0,13.04,MGR532,Sydney,High,3.54,6.2,
EMP1580,Employee 580,Customer Support,Support Manager,Part-time,Rotational,Work From Home,2025-02-13,21:42:00,05:42:00,8.0,13.0,80.94,False,0.0,,False,True,2.0,13.54,MGR234,New York,Low,3.92,6.1,
EMP1784,Employee 784,Engineering,QA Analyst,Contractor,Day,Office,2025-02-21,09:17:00,17:17:00,8.0,9.0,89.11,False,0.0,,True,False,0.0,8.98,MGR475,Bangalore,High,3.6,4.0,
EMP1088,INVALID_NAME,Consulting,Consultant,Contractor,Day,Work From Home,2025-02-20,09:36:00,17:36:00,8.0,15.0,76.47,False,,,True,False,2.0,9.66,MGR672,New York,High,4.32,9.9,
EMP1143,Employee 143,Sales,Sales Manager,Contractor,Day,Hybrid,2025-02-02,10:30:00,18:30:00,8.0,11.0,76.48,False,0.0,,True,True,2.0,8.0,MGR387,New York,Low,3.58,3.8,
EMP1081,Employee 081,Sales,Sales Executive,Full-time,Day,Hybrid,2025-02-11,08:00:00,16:00:00,8.0,5.0,77.61,False,0.0,,True,False,1.0,12.44,MGR222,Sydney,High,4.61,7.9,
EMP1051,Employee 051,Consulting,Consultant,Full-time,Rotational,Office,2025-02-26,20:15:00,04:15:00,8.0,6.0,94.95,False,0.0,,True,False,1.0,12.25,MGR587,New York,Low,4.28,5.5,
EMP1956,Employee 956,Customer Support,Support Specialist,Contractor,Night,Hybrid,2025-02-06,22:14:00,06:14:00,8.0,14.0,89.19,False,0.0,,True,True,1.0,13.49,MGR288,Sydney,Medium,3.67,1.6,
EMP1416,Employee 416,Sales,Sales Executive,Full-time,Day,Office,2025-02-13,10:26:00,18:26:00,8.0,13.0,86.01,False,0.0,,True,False,0.0,10.66,MGR481,New York,Medium,4.72,7.9,
EMP1109,Employee 109,Sales,Sales Manager,Part-time,Rotational,Hybrid,2025-02-13,20:35:00,04:35:00,8.0,13.0,71.58,False,0.0,,True,False,2.0,12.33,MGR540,New York,Low,4.66,3.7,
EMP1600,Employee 600,Engineering,Software Engineer,Part-time,Night,Hybrid,2025-02-09,21:25:00,05:25:00,8.0,6.0,70.17,False,0.0,,True,True,1.0,14.76,MGR268,Bangalore,High,4.92,9.7,
EMP1279,Employee 279,Consulting,Senior Consultant,Full-time,Rotational,Hybrid,2025-02-15,21:47:00,05:47:00,8.0,11.0,81.98,False,0.0,,False,True,2.0,10.16,MGR346,New York,Low,4.15,6.4,
EMP1976,Employee 976,Consulting,Senior Consultant,Contractor,Night,Work From Home,2025-02-08,20:41:00,04:41:00,8.0,8.0,91.66,False,0.0,,True,True,0.0,8.06,MGR346,Bangalore,High,4.77,2.5,
EMP1351,Employee 351,Customer Support,Support Specialist,Full-time,Rotational,Office,2025-02-19,20:36:00,04:36:00,8.0,8.0,72.7,False,0.0,,False,True,2.0,11.93,MGR691,London,Medium,4.55,8.2,
EMP1118,Employee 118,Customer Support,Support Manager,Full-time,Rotational,Work From Home,2025-02-17,22:04:00,06:04:00,8.0,6.0,93.94,False,1.0,,False,False,0.0,13.49,MGR303,New York,Low,4.35,6.9,
EMP1269,Employee 269,Customer Support,Support Manager,Part-time,Night,Office,2025-02-23,22:35:00,06:35:00,8.0,7.0,88.41,False,0.0,,False,True,2.0,13.2,MGR595,Bangalore,Low,3.8,1.6,
EMP1692,Employee 692,HR,HR Executive,Full-time,Night,Work From Home,2025-02-05,20:57:00,04:57:00,8.0,11.0,70.64,False,1.5,,True,False,0.0,9.51,MGR568,Sydney,Medium,3.74,4.1,
EMP1169,Employee 169,HR,HR Manager,Full-time,Night,Hybrid,2025-02-19,,,,,,True,,Paid Leave,,,,,MGR575,Bangalore,Medium,3.87,9.3,Personal
EMP1133,Employee 133,Consulting,Senior Consultant,Part-time,Rotational,Hybrid,2025-02-04,20:26:00,04:26:00,8.0,11.0,91.12,False,0.0,,True,False,0.0,13.23,MGR532,London,High,3.63,6.1,
EMP1906,Employee 906,Customer Support,Support Manager,Contractor,Rotational,Office,2025-02-01,,,,,,True,,Sick Leave,,,,,MGR245,Sydney,Medium,4.35,6.4,
EMP1213,Employee 213,Customer Support,Support Specialist,Part-time,Rotational,Hybrid,2025-02-08,22:52:00,06:52:00,8.0,7.0,90.68,False,0.0,,False,False,2.0,13.96,MGR535,Bangalore,Low,3.95,4.4,
EMP1239,Employee 239,Finance,Accountant,Contractor,Day,Office,2025-02-09,08:00:00,16:00:00,8.0,14.0,83.91,False,0.0,,False,True,0.0,12.23,MGR273,New York,High,4.4,6.7,
EMP1424,Employee 424,Finance,Financial Analyst,Part-time,Rotational,Hybrid,2025-02-11,20:43:00,04:43:00,8.0,15.0,83.51,False,0.0,,True,False,0.0,11.8,MGR368,Bangalore,Low,4.1,9.2,
EMP1522,Employee 522,Finance,Financial Analyst,Full-time,Night,Office,2025-02-19,21:22:00,05:22:00,8.0,14.0,83.99,False,0.5,,False,False,2.0,14.08,MGR676,London,Low,4.01,7.8,
EMP1423,Employee 423,Finance,Financial Analyst,Contractor,Day,Office,2025-02-17,10:07:00,18:07:00,8.0,10.0,83.52,False,0.0,,True,False,2.0,10.78,MGR627,Bangalore,Low,3.93,1.5,
EMP1991,Employee 991,Customer Support,Support Specialist,Contractor,Night,Office,2025-02-15,,,,,,True,,Sick Leave,,,,,MGR419,London,Low,3.73,3.8,Flu
EMP1351,Employee 351,Customer Support,Support Specialist,Full-time,Rotational,Office,2025-02-24,21:15:00,05:15:00,8.0,11.0,94.25,False,0.0,,True,False,0.0,12.31,MGR691,London,Medium,4.55,8.2,
EMP1215,Employee 215,HR,HR Executive,Full-time,Night,Work From Home,2025-02-01,20:28:00,04:28:00,8.0,7.0,80.5,False,0.0,,False,True,2.0,10.15,MGR497,Sydney,Low,4.88,3.2,
EMP1162,Employee 162,HR,HR Executive,Contractor,Rotational,Work From Home,2025-02-20,21:47:00,05:47:00,8.0,6.0,85.28,False,0.0,,False,True,0.0,8.42,MGR362,Sydney,High,4.2,4.2,
EMP1267,Employee 267,Consulting,Senior Consultant,Part-time,Night,Work From Home,2025-02-15,22:10:00,06:10:00,8.0,12.0,93.33,False,0.0,,True,True,2.0,12.33,MGR676,London,Low,3.89,4.6,
EMP1068,Employee 068,Sales,Sales Manager,Contractor,Rotational,Office,2025-02-08,22:46:00,06:46:00,8.0,10.0,85.79,False,0.0,,True,True,1.0,9.55,MGR560,Sydney,High,4.33,8.6,
EMP1173,Employee 173,Consulting,Consultant,Part-time,Night,Work From Home,2025-02-17,21:32:00,05:32:00,8.0,9.0,79.9,False,0.0,,True,True,0.0,11.3,MGR428,London,High,3.84,1.6,
EMP1516,Employee 516,Finance,Financial Analyst,Full-time,Night,Work From Home,2025-02-07,22:58:00,06:58:00,8.0,12.0,78.5,False,0.5,,True,False,1.0,9.26,MGR488,London,Low,3.76,6.7,
EMP1056,Employee 056,Consulting,Senior Consultant,Part-time,Day,Office,2025-02-22,10:49:00,18:49:00,8.0,6.0,74.07,False,0.5,,False,False,1.0,10.88,MGR664,New York,Medium,3.69,6.0,
EMP1984,Employee 984,Finance,Financial Analyst,Full-time,Night,Office,2025-02-28,21:42:00,05:42:00,8.0,15.0,91.52,False,0.0,,True,True,1.0,12.31,MGR555,New York,Medium,3.76,5.3,
EMP1095,Employee 095,Consulting,Consultant,Full-time,Day,Office,2025-02-05,09:35:00,17:35:00,8.0,11.0,86.51,False,0.0,,False,False,0.0,11.66,MGR492,New York,High,3.6,1.1,
EMP1694,Employee 694,Engineering,QA Analyst,Part-time,Rotational,Work From Home,2025-02-08,21:27:00,05:27:00,8.0,9.0,91.21,False,0.5,,True,False,1.0,9.63,MGR575,New York,Low,3.94,4.7,
EMP1698,Employee 698,HR,HR Executive,Part-time,Night,Hybrid,2025-02-07,,,,,,True,,Paid Leave,,,,,MGR214,Bangalore,Low,4.04,2.0,
EMP1010,Employee 010,Customer Support,Support Manager,Part-time,Rotational,Hybrid,2025-02-10,22:01:00,06:01:00,8.0,15.0,84.19,False,1.0,,False,False,0.0,13.6,MGR321,Sydney,Medium,3.53,7.7,
EMP1881,Employee 881,HR,HR Manager,Contractor,Night,Office,2025-02-02,21:21:00,05:21:00,8.0,11.0,88.98,False,0.5,,False,False,0.0,8.65,MGR446,Bangalore,Low,3.78,5.3,
EMP1472,INVALID_NAME,Sales,Sales Manager,Full-time,Rotational,Hybrid,2025-02-08,21:54:00,05:54:00,8.0,9.0,81.37,False,0.0,,False,False,2.0,8.09,MGR590,Bangalore,Low,4.45,3.7,
EMP1759,Employee 759,Consulting,Senior Consultant,Contractor,Night,Hybrid,2025-02-10,20:59:00,04:59:00,8.0,6.0,76.97,False,0.5,,True,False,2.0,10.38,MGR429,New York,Medium,3.96,3.4,
EMP1830,Employee 830,Engineering,DevOps Engineer,Full-time,Night,Work From Home,2025-02-02,20:11:00,04:11:00,8.0,11.0,84.11,False,0.5,,False,False,2.0,9.09,MGR640,New York,Low,4.26,7.3,
EMP1215,Employee 215,HR,HR Executive,Full-time,Night,Work From Home,2025-02-02,20:44:00,04:44:00,8.0,6.0,91.19,False,0.0,,False,False,0.0,14.87,MGR497,Sydney,Low,4.88,3.2,
EMP1223,Employee 223,Finance,Accountant,Part-time,Day,Hybrid,2025-02-17,,,,,,True,,Unpaid Leave,,,,,MGR443,London,Low,4.79,4.5,
EMP1210,Employee 210,Finance,Accountant,Full-time,Night,Work From Home,2025-02-20,20:06:00,04:06:00,8.0,11.0,72.84,False,0.5,,False,False,0.0,9.44,MGR344,London,Low,4.65,5.5,
EMP1749,Employee 749,Sales,Sales Manager,Contractor,Day,Hybrid,2025-02-06,09:16:00,17:16:00,8.0,15.0,80.09,False,0.0,,False,True,0.0,12.39,MGR633,Bangalore,High,4.83,5.7,
EMP1653,Employee 653,Sales,Sales Manager,Part-time,Night,Hybrid,2025-02-02,,,,,,True,,Sick Leave,,,,,MGR247,London,High,4.4,9.8,Family Emergency
EMP1051,INVALID_NAME,Consulting,Consultant,Full-time,Rotational,Office,2025-02-09,99:99:99,04:37:00,8.0,8.0,75.47,False,1.0,,False,False,1.0,13.02,MGR587,New York,Low,4.28,5.5,
EMP1630,Employee 630,Engineering,DevOps Engineer,Full-time,Rotational,Office,2025-02-03,20:31:00,04:31:00,8.0,8.0,72.55,False,1.5,,True,False,2.0,13.21,MGR523,London,Low,3.97,6.5,
EMP1344,Employee 344,Sales,Sales Executive,Full-time,Night,Hybrid,2025-02-28,20:01:00,04:01:00,8.0,13.0,72.85,False,0.0,,True,False,0.0,12.71,MGR403,Bangalore,Low,4.12,3.2,
EMP1611,Employee 611,Consulting,Consultant,Part-time,Day,Work From Home,2025-02-03,09:02:00,17:02:00,8.0,11.0,90.55,False,0.0,,True,False,2.0,11.98,MGR654,Bangalore,Medium,4.0,7.5,
EMP1817,Employee 817,Consulting,Consultant,Part-time,Night,Office,2025-02-04,,,,,,True,,Unpaid Leave,,,,,MGR447,London,Medium,3.8,3.1,Flu
EMP1845,Employee 845,HR,HR Manager,Contractor,Day,Office,2025-02-13,09:12:00,17:12:00,8.0,15.0,74.52,False,0.0,,False,True,0.0,12.39,MGR398,Sydney,Low,3.59,3.2,
EMP1236,Employee 236,Finance,Accountant,Contractor,Day,Work From Home,2025-02-03,10:52:00,18:52:00,8.0,13.0,91.5,False,0.0,,True,,0.0,12.38,MGR366,New York,High,3.51,5.1,
EMP1386,Employee 386,Customer Support,Support Specialist,Part-time,Day,Office,2025-02-21,,,,,,True,,Paid Leave,,,,,MGR215,New York,Medium,3.64,7.9,Family Emergency
EMP1100,Employee 100,Finance,Financial Analyst,Contractor,Day,Work From Home,2025-02-18,08:43:00,16:43:00,8.0,9.0,82.4,False,0.0,,False,False,0.0,11.05,MGR539,Bangalore,Medium,3.92,7.7,
EMP1028,Employee 028,Finance,Financial Analyst,Contractor,Day,Hybrid,2025-02-06,09:21:00,17:21:00,8.0,13.0,78.79,False,1.5,,True,True,0.0,10.28,MGR461,Sydney,High,3.57,8.1,
EMP1305,Employee 305,HR,HR Manager,Full-time,Night,Work From Home,2025-02-18,21:17:00,05:17:00,8.0,13.0,78.71,False,0.0,,False,True,0.0,9.95,MGR563,Sydney,Low,4.64,9.9,
EMP1031,Employee 031,Finance,Financial Analyst,Full-time,Day,Hybrid,2025-02-01,09:38:00,17:38:00,8.0,14.0,70.49,False,0.0,,False,False,1.0,12.75,MGR505,London,Medium,4.93,2.2,
EMP1872,Employee 872,Finance,Financial Analyst,Part-time,Day,Hybrid,2025-02-20,09:48:00,17:48:00,8.0,11.0,83.98,False,0.0,,False,False,2.0,12.64,MGR476,Sydney,High,3.71,1.4,
EMP1866,INVALID_NAME,Engineering,QA Analyst,Full-time,Night,Work From Home,2025-02-22,22:03:00,06:03:00,8.0,12.0,89.05,False,0.0,,False,True,0.0,8.84,MGR520,London,High,4.46,1.1,
EMP1378,Employee 378,Customer Support,Support Specialist,Full-time,Rotational,Work From Home,2025-02-10,22:46:00,06:46:00,8.0,14.0,75.49,False,1.5,,False,False,2.0,12.56,MGR697,New York,High,3.81,5.3,
EMP1363,Employee 363,Engineering,QA Analyst,Part-time,Rotational,Work From Home,2025-02-24,20:09:00,04:09:00,8.0,13.0,76.64,False,0.0,,False,True,1.0,11.77,MGR560,Sydney,Low,4.91,8.7,
EMP1799,Employee 799,Customer Support,Support Specialist,Contractor,Night,Hybrid,2025-02-01,22:11:00,06:11:00,8.0,11.0,73.92,False,0.5,,False,False,0.0,9.41,MGR605,New York,Low,3.66,7.5,
EMP1715,Employee 715,HR,HR Manager,Full-time,Rotational,Work From Home,2025-02-16,20:59:00,04:59:00,8.0,14.0,88.19,False,0.0,,False,False,1.0,8.63,MGR550,New York,Low,3.73,1.8,
EMP1985,Employee 985,Customer Support,Support Manager,Part-time,Day,Office,2025-02-22,09:50:00,17:50:00,8.0,8.0,78.36,False,0.0,,False,True,1.0,12.51,MGR632,London,Medium,3.72,3.9,
EMP1699,Employee 699,HR,HR Manager,Full-time,Night,Office,2025-02-28,21:29:00,05:29:00,8.0,9.0,90.76,False,0.0,,True,True,0.0,10.71,MGR458,New York,High,4.46,8.4,
EMP1939,Employee 939,Customer Support,Support Specialist,Part-time,Night,Office,2025-02-22,20:30:00,04:30:00,8.0,9.0,87.49,False,1.5,,False,False,0.0,12.6,MGR382,New York,Low,4.83,7.9,
EMP1894,Employee 894,Customer Support,Support Manager,Full-time,Night,Work From Home,2025-02-02,20:35:00,04:35:00,8.0,14.0,86.3,False,0.0,,False,False,2.0,8.82,MGR654,Sydney,Low,3.91,5.9,
EMP1927,Employee 927,Customer Support,Support Specialist,Part-time,Night,Office,2025-02-09,22:49:00,06:49:00,8.0,13.0,91.86,False,0.0,,True,False,2.0,11.93,MGR491,London,Low,3.66,7.6,
EMP1773,Employee 773,Customer Support,Support Manager,Full-time,Night,Work From Home,2025-02-15,21:18:00,05:18:00,8.0,8.0,79.12,False,0.0,,False,True,2.0,10.59,MGR395,London,Low,4.28,3.2,
EMP1401,Employee 401,Sales,Sales Executive,Full-time,Rotational,Work From Home,2025-02-13,,,,,,True,,Sick Leave,,,,,MGR225,New York,High,3.69,4.9,Flu
EMP1123,Employee 123,Sales,Sales Executive,Full-time,Night,Hybrid,2025-02-05,21:20:00,05:20:00,8.0,9.0,92.75,False,0.0,,False,False,1.0,12.63,MGR255,London,High,4.54,1.8,
EMP1338,Employee 338,Consulting,Senior Consultant,Part-time,Night,Hybrid,2025-02-10,,,,,,True,,Paid Leave,,,,,MGR268,New York,Medium,4.29,3.4,Personal
EMP1422,Employee 422,Finance,Accountant,Full-time,Day,Work From Home,2025-02-03,10:12:00,18:12:00,8.0,9.0,73.74,False,0.0,,True,True,1.0,8.83,MGR274,London,High,4.57,5.5,
EMP1163,Employee 163,Sales,Sales Executive,Part-time,Night,Office,2025-02-21,,,,,,True,,Unpaid Leave,,,,,MGR316,New York,Low,3.84,1.4,Personal
EMP1213,Employee 213,Customer Support,Support Specialist,Part-time,Rotational,Hybrid,2025-02-09,20:33:00,04:33:00,8.0,11.0,75.75,False,0.0,,False,True,0.0,8.68,MGR535,Bangalore,Low,3.95,4.4,
EMP1159,Employee 159,HR,HR Manager,Contractor,Rotational,Office,2025-02-08,22:07:00,06:07:00,8.0,5.0,88.67,False,0.0,,False,True,1.0,13.09,MGR556,New York,Medium,3.81,4.9,
EMP1956,Employee 956,Customer Support,Support Specialist,Contractor,Night,Hybrid,2025-02-23,22:03:00,06:03:00,8.0,12.0,75.1,False,0.0,,True,True,1.0,12.63,MGR288,Sydney,Medium,3.67,1.6,
EMP1870,Employee 870,Engineering,QA Analyst,Full-time,Day,Work From Home,2025-02-04,99:99:99,18:34:00,8.0,7.0,89.19,False,0.0,,False,False,1.0,10.07,MGR677,Sydney,Low,3.69,3.0,
EMP1268,Employee 268,Consulting,Senior Consultant,Contractor,Day,Work From Home,2025-02-07,08:47:00,16:47:00,8.0,5.0,78.01,False,0.0,,True,True,2.0,8.41,MGR495,New York,Low,4.96,7.9,
EMP1096,Employee 096,Engineering,QA Analyst,Contractor,Day,Office,2025-02-25,09:29:00,17:29:00,8.0,6.0,79.91,False,0.0,,False,False,0.0,10.54,MGR693,Bangalore,Low,4.01,7.7,
EMP1610,Employee 610,Engineering,DevOps Engineer,Full-time,Rotational,Hybrid,2025-02-20,21:21:00,05:21:00,8.0,11.0,82.74,False,0.0,,False,True,2.0,10.43,MGR305,New York,Low,3.92,7.1,
EMP1409,Employee 409,Customer Support,Support Manager,Contractor,Day,Work From Home,2025-02-02,,,,,,True,,Unpaid Leave,,,,,MGR532,Bangalore,Low,4.53,8.7,Personal
EMP1677,Employee 677,Sales,Sales Manager,Part-time,Night,Hybrid,2025-02-20,21:15:00,05:15:00,8.0,12.0,90.16,False,0.0,,False,False,1.0,12.98,MGR215,London,High,4.05,8.0,
